Date,Open,High,Low,Close,Adj Close,Volume,Search Vol
17-11-11,66463.05469,71348.71094,66343.5625,69771.59375,69771.59375,3.05158E+11,1.58636
17-11-12,69778.20313,69778.20313,64295.54297,65990.46094,65990.46094,3.61035E+11,3.44501
17-11-13,66181.03125,70174.99219,65934.08594,68730.92188,68730.92188,2.65847E+11,22.98054
17-11-14,69006.75781,71138.0625,68036.125,69938.52344,69938.52344,1.94275E+11,2.11514
17-11-15,70045.19531,72293.39844,69951.66406,70590.17969,70590.17969,2.15271E+11,2.02636
17-11-16,70574.14063,79479.85938,68998.89844,77923.90625,77923.90625,4.58516E+11,1.61398
17-11-17,77253.01563,77803.53125,72169.86719,73874.53906,73874.53906,3.83214E+11,3.2398
17-11-18,73695.45313,76276.125,71846.54688,76142.85156,76142.85156,1.90307E+11,1.40483
17-11-19,75998.75,79791.36719,75006.34375,78215.60938,78215.60938,2.65554E+11,1.45811
17-11-20,78022.99219,79921.48438,77630.1875,79188.34375,79188.34375,2.07116E+11,1.74223
17-11-21,79126.96875,79555.83594,74729.63281,76418.38281,76418.38281,2.52804E+11,1.63174
17-11-22,76586.32031,78084.10156,76531.57813,78028.85156,78028.85156,1.71366E+11,1.44232
17-11-23,78118.17188,82767.52344,76934.5,79267.98438,79267.98438,3.41271E+11,1.82313
17-11-24,79179.76563,84565.19531,79063.23438,84565.19531,84565.19531,3.11708E+11,1.8547
17-11-25,84500.55469,96928.5625,84081.46094,96331.70313,96331.70313,5.29178E+11,2.2651
17-11-26,96464.45313,96464.45313,91126.00781,93228.00781,93228.00781,3.8783E+11,5.94491
17-11-27,93187.75,101556.0234,93267.625,99847.85938,99847.85938,4.68258E+11,6.15405
17-11-28,99980.07813,104039.1719,98447.79688,104039.1719,104039.1719,4.21352E+11,4.18491
17-11-29,104016.1016,112467.2266,87914.60156,92474.86719,92474.86719,8.50301E+11,8.01665
17-11-30,93205.07813,101668.5156,84832.82813,96040.21094,96040.21094,5.24012E+11,4.52823
17-12-1,95684.44531,108692.9766,90644.19531,107168.5391,107168.5391,6.07637E+11,2.68537
17-12-2,107101.2031,112354.9688,106424.0156,108554.4141,108554.4141,4.35753E+11,4.04877
17-12-3,108458.0781,115165.0625,106195.9609,109618.2109,109618.2109,3.94057E+11,2.74259
17-12-4,109762.1875,113518.2188,104652.8125,113115.8672,113115.8672,3.59362E+11,2.58671
17-12-5,113160.3594,113203.1797,110591.1094,111127.375,111127.375,3.56753E+11,3.18258
17-12-6,111215.2734,114704.4375,106478.8203,109648.6094,109648.6094,5.98234E+11,5.2346
17-12-7,109246.625,110770.9453,100870.5,107381.4922,107381.4922,7.05398E+11,6.01791
17-12-8,107420.5,145426.8906,104263.0625,136313.1094,136313.1094,1.65476E+12,4.90706
17-12-9,139187.9375,187307.9531,138215.1094,169500.9844,169500.9844,2.66034E+12,49.23444
17-12-10,169921.3438,169921.3438,142116.2813,162308.4844,162308.4844,1.18717E+12,19.20011
17-12-11,161869.5625,245073.9531,160881.6406,233014.3125,233014.3125,3.16989E+12,16.495
17-12-12,231122.5938,372427.9063,228123.5469,345008.5,345008.5,7.59693E+12,100.0
17-12-13,344138.7813,372471.125,312508.4063,328068.9688,328068.9688,3.69676E+12,55.90939
17-12-14,326546.8125,338216.9688,288729.3125,303850.2188,303850.2188,2.30055E+12,26.64654
17-12-15,305634.1563,343765.625,273756.2813,326144.5625,326144.5625,2.8286E+12,24.82735
17-12-16,325663.6875,337156.7813,315651.2813,325266.5625,325266.5625,1.40496E+12,9.36624
17-12-17,328325.9063,361841.2813,328325.9063,347088.1563,347088.1563,1.85522E+12,9.16104
17-12-18,347343,391785.5625,329374.625,388937.9063,388937.9063,2.13455E+12,7.99889
17-12-19,389794.2813,407894.625,364096.5938,379747.7813,379747.7813,2.33157E+12,12.05161
17-12-20,379044.1563,379460.1875,335030.0625,339787.5313,339787.5313,2.27236E+12,22.02754
17-12-21,339829.6563,367329.2188,323206.75,342960.5625,342960.5625,1.68091E+12,40.34568
17-12-22,344899.7188,345955,201730.875,285262.875,285262.875,3.16351E+12,21.54216
17-12-23,289930.5625,336662.1563,281715.0313,310387.5313,310387.5313,1.45638E+12,13.75044
17-12-24,313339.9375,313339.9375,270302.6563,297285.6563,297285.6563,1.2096E+12,6.75585
17-12-25,298916.5313,309328.8438,290316.625,294268.8125,294268.8125,8.65807E+11,7.18795
17-12-26,293965.25,310937.6875,293354.125,308003.25,308003.25,9.06251E+11,6.70257
17-12-27,308094.625,312648.4375,283813.1563,292225.0625,292225.0625,8.3439E+11,6.43226
17-12-28,292173.5313,292963.2188,247545.625,267312.625,267312.625,2.7736E+12,6.74598
17-12-29,267764,275167.1563,254229.7969,261795.9688,261795.9688,1.48461E+12,6.29217
17-12-30,261353.4375,261722.3906,222015.0469,233495.5781,233495.5781,1.0063E+12,10.0213
17-12-31,231375.6406,253573.1875,228001.6406,247472.3594,247472.3594,8.22124E+11,5.58975
18-1-1,247013.875,252169.0313,236835.0781,243977.4063,243977.4063,6.74455E+11,4.10007
18-1-2,243931.6094,279845.8438,243968.2344,271661.6875,271661.6875,1.31531E+12,5.82258
18-1-3,271673.375,277739.7813,258724.8125,261056.8281,261056.8281,3.42087E+12,5.62132
18-1-4,261170.6719,261504.5313,241124.125,256127.3594,256127.3594,3.69441E+12,8.76642
18-1-5,255770.8125,271970.2813,252383.5469,264725.8125,264725.8125,1.81666E+12,9.05844
18-1-6,265253.625,343148.125,264878.7188,314834.1563,314834.1563,2.40515E+12,18.41876
18-1-7,314408.2813,324469.6875,299406.4688,305910.9375,305910.9375,1.11928E+12,14.59887
18-1-8,305141,307049.0938,253619.4375,273055.125,273055.125,1.262E+12,12.51134
18-1-9,271819.9063,276055.3438,256730.2813,264766.8438,264766.8438,1.00835E+12,7.93575
18-1-10,265877.1875,267919.8125,249574.3125,267976.5938,267976.5938,1.08029E+12,7.79172
18-1-11,269050.5625,273181.9063,239081.5156,244318.3594,244318.3594,1.14976E+12,5.18329
18-1-12,244766.8125,259286.625,239501.8125,250830.5,250830.5,7.31938E+11,4.04285
18-1-13,250858.0469,278723.5,250858.0469,274485.375,274485.375,1.01774E+12,5.57594
18-1-14,275953.1563,286832.25,248094.0469,251993.0625,251993.0625,9.35877E+11,5.89953
18-1-15,250529.7344,260272.6406,247171.0781,247171.0781,247171.0781,6.38989E+11,4.67227
18-1-16,247216.7344,247717.2969,161901.1719,200097.9219,200097.9219,1.49286E+12,3.2694
18-1-17,202025.2656,210865.8906,150437.5469,198943.5625,198943.5625,1.51727E+12,2.79586
18-1-18,199405.4219,221165.5469,189017.125,206260.3906,206260.3906,1.00199E+12,2.29667
18-1-19,204500.875,215298.7813,199425.4688,205913.8125,205913.8125,5.97885E+11,2.38743
18-1-20,207422.7188,228989,207422.7188,225179.4219,225179.4219,5.77078E+11,2.39927
18-1-21,225410.9844,225410.9844,197026.9219,203057.3438,203057.3438,4.94275E+11,1.7955
18-1-22,204517.1719,208817.5469,178170.9688,192394.3438,192394.3438,5.28089E+11,1.63766
18-1-23,192684,199813.1875,178342.7188,190763.7969,190763.7969,4.73956E+11,1.71855
18-1-24,191426.8281,198435.5781,185670.8594,191576.3594,191576.3594,4.00156E+11,1.68107
18-1-25,193253.8438,196270.25,186690.1094,191966.25,191966.25,3.86695E+11,1.75604
18-1-26,191483.8594,194487.3438,177598.5938,187986.6406,187986.6406,3.99384E+11,1.40483
18-1-27,187909,194815.4219,186013.5469,192403.0156,192403.0156,3.10201E+11,1.18187
18-1-28,192972.0781,207159.875,192972.0781,206095.9531,206095.9531,3.86449E+11,1.0773
18-1-29,205974.7656,206632.3125,191607.9688,194349.5938,194349.5938,3.24759E+11,1.14241
18-1-30,194115.3125,194369.4844,174897.9844,177263.4688,177263.4688,4.64649E+11,1.06941
18-1-31,177284.9219,177808.7969,169026.9688,174632.0156,174632.0156,3.88382E+11,1.03784
18-2-1,174985.8906,177338.0625,140722.1563,152412.8906,152412.8906,5.7826E+11,1.28645
18-2-2,152696.7344,152740.9219,114077.0781,143071.7344,143071.7344,8.88123E+11,1.38116
18-2-3,143095.6875,180289.3906,131949.7813,174512.25,174512.25,7.48879E+11,1.03389
18-2-4,174654.9063,189263.8438,152112.7969,161357.6094,161357.6094,1.0967E+12,8.57306
18-2-5,162122.8438,167325.8125,128892.4766,137029.5625,137029.5625,9.23529E+11,2.98528
18-2-6,139425.0938,157585.4063,116303.7422,154323.0313,154323.0313,1.23942E+12,1.6495
18-2-7,153773.6875,171099.8438,142637.7813,150555.5938,150555.5938,8.90904E+11,1.3338
18-2-8,150700.4688,164995.5469,150509.5625,163793.8125,163793.8125,9.52529E+11,1.27461
18-2-9,164083.1094,177864.1875,155490.0313,177831.6406,177831.6406,7.83354E+11,2.03425
18-2-10,177330.5313,183666.0781,161772.0156,168767.0625,168767.0625,6.25126E+11,1.63766
18-2-11,168549.0313,168916.75,154685.8594,161384.4844,161384.4844,5.36959E+11,1.09111
18-2-12,162591.1563,176855.25,162576.1406,174919.4219,174919.4219,5.79986E+11,1.12465
18-2-13,175145.7031,175510.0469,166395.1875,172923.0313,172923.0313,5.23978E+11,1.06546
18-2-14,172950.125,236551.5,172919.7969,228291.9844,228291.9844,2.55015E+12,8.98741
18-2-15,227209.1719,254723.4531,224507.5156,239639.1094,239639.1094,2.21889E+12,10.83816
18-2-16,239717.7813,251927.1406,225905.3125,245355.9063,245355.9063,1.38614E+12,3.46474
18-2-17,244692.7344,248903.125,240535.6563,244653.2813,244653.2813,9.2055E+11,2.62025
18-2-18,245766.3906,248042.7031,228652.9688,229903.375,229903.375,1.07752E+12,2.45057
18-2-19,229561.2969,241980.8594,230345.7031,237923.75,237923.75,8.18757E+11,2.492
18-2-20,237955.75,272305.5938,238104.75,249753.6563,249753.6563,1.86595E+12,5.26025
18-2-21,247712.5156,252971.5938,223869.4063,229319.2656,229319.2656,1.28532E+12,4.39603
18-2-22,228770.0313,241317.8906,207534.5781,210959.9844,210959.9844,1.05247E+12,1.96124
18-2-23,209755.625,232681.2344,198263.6406,225216.4844,225216.4844,1.14667E+12,1.75999
18-2-24,226645.4063,237050.3438,212923.1875,225338.0625,225338.0625,1.00855E+12,1.43443
18-2-25,223950.0313,242713.2813,217744.75,237387.6406,237387.6406,1.10749E+12,2.04214
18-2-26,239178.2031,251787.3125,234386.5469,236360.8438,236360.8438,1.38747E+12,5.05307
18-2-27,237160.9844,240011.25,230986.5625,234028.7188,234028.7188,9.25373E+11,3.18258
18-2-28,234763.4531,241755.1094,219986.6719,220191.7969,220191.7969,8.26225E+11,1.75802
18-3-1,220434.8906,232721.8906,218741.6094,226932.7188,226932.7188,7.34128E+11,1.08519
18-3-2,226721.7344,230435.0781,221876.8438,229282.0313,229282.0313,6.76492E+11,0.98062
18-3-3,230664.9063,234898.7656,226025.4688,227218.5,227218.5,7.35522E+11,0.95694
18-3-4,226779.4688,231142.5313,221524.0938,230725.4688,230725.4688,6.20172E+11,0.67084
18-3-5,230661.7969,232761.6406,225995.1875,227365.7969,227365.7969,6.40435E+11,0.91551
18-3-6,226653.0313,226627.7656,205003.3125,209028.1406,209028.1406,7.02865E+11,0.83066
18-3-7,209267.375,212925.3281,187944.0469,198132.25,198132.25,8.05929E+11,0.86223
18-3-8,197981.9219,201147.9688,189066.4063,189382.1875,189382.1875,6.57173E+11,0.71623
18-3-9,189350,202137.9219,171431.2188,199217.875,199217.875,1.0041E+12,0.70044
18-3-10,200223.7188,207179.4375,187901.3906,189174.375,189174.375,6.66098E+11,0.97273
18-3-11,188941.2813,205873.0781,183573.625,201047.9844,201047.9844,7.12252E+11,0.79712
18-3-12,201122.4844,205773.6875,187095.8281,189617.7969,189617.7969,6.03883E+11,0.75569
18-3-13,188940.125,194000.7188,183166.0469,187445.1406,187445.1406,4.99152E+11,0.74977
18-3-14,187610.4219,188981.0313,168642.7344,171176.25,171176.25,5.10713E+11,0.77542
18-3-15,171283.5625,178859.5,161385.7344,175783.7188,175783.7188,6.03426E+11,0.72214
18-3-16,176148.1719,183083.3594,170104.4688,176953.7344,176953.7344,4.66987E+11,0.63138
18-3-17,176673.5313,176705.6094,161561.0625,163604.9219,163604.9219,4.31886E+11,0.50708
18-3-18,163142.9063,167022.3281,147614.3906,164894.625,164894.625,6.37809E+11,0.56232
18-3-19,166394.0156,174402.0938,162384.0469,172787.7344,172787.7344,5.41317E+11,0.55641
18-3-20,173194.125,185585.2344,167665.0313,180730.4219,180730.4219,5.27675E+11,0.69847
18-3-21,181522.6406,187545.0469,177280.0313,179864.5625,179864.5625,4.9212E+11,0.56627
18-3-22,179514.5313,183817.7656,173993.9844,176741.2031,176741.2031,4.37336E+11,0.49524
18-3-23,176638.625,181740.2344,169214.9844,181740.2344,181740.2344,3.76899E+11,0.42224
18-3-24,182500.4063,182629.2813,172859.625,172859.625,172859.625,3.14325E+11,0.3512
18-3-25,172029.0625,176016.9219,170573.6875,173330.9531,173330.9531,2.61409E+11,0.36699
18-3-26,173418.6406,173894.4531,153944.5313,160308.1094,160308.1094,4.37385E+11,0.45578
18-3-27,160028.7969,160663.0313,145838.875,145838.875,145838.875,4.13636E+11,2.95765
18-3-28,145528.4531,149978.5938,139353.3438,140087.8906,140087.8906,3.49163E+11,1.29434
18-3-29,140277.1719,141349,121008.1563,121783.3672,121783.3672,5.06342E+11,1.02995
18-3-30,121916.1094,132822.0313,117412.6797,125743.5313,125743.5313,4.96662E+11,0.65111
18-3-31,125784.8828,131335.2969,123184.0859,123632.5703,123632.5703,3.13239E+11,0.44789
18-4-1,123948.5234,124932.4375,117182.0156,122245.9297,122245.9297,2.90896E+11,0.34331
18-4-2,122261.8438,127911.7578,121280.9297,126006.2266,126006.2266,2.86962E+11,0.55641
18-4-3,126220.625,143856.0781,125485.5859,141692.3906,141692.3906,3.95572E+11,0.52878
18-4-4,141100.2031,142053.9375,123391.4453,125214.7734,125214.7734,4.02202E+11,0.54062
18-4-5,125000.1094,128548.4531,121244.5078,126462.3203,126462.3203,3.12116E+11,0.50313
18-4-6,126126.875,127729.7109,120653.8984,121047.5625,121047.5625,2.49455E+11,0.42618
18-4-7,121026.1719,127706.75,120983.375,124369.1406,124369.1406,2.2622E+11,0.40053
18-4-8,124402.2969,126818.8672,124034.3047,125970.3359,125970.3359,2.08394E+11,0.42026
18-4-9,126090.2344,130616.3047,121116.0938,122908.2109,122908.2109,2.78086E+11,0.53865
18-4-10,123146.5625,123547.2422,120028.5703,121506.1328,121506.1328,2.1574E+11,0.47156
18-4-11,121533.7813,126917.2891,120957.1094,126056.8047,126056.8047,2.45173E+11,0.56035
18-4-12,126057.8672,138383.2813,121650.5938,138383.2813,138383.2813,6.28613E+11,0.83066
18-4-13,138318.0156,142074.7344,132888.7813,134214.0156,134214.0156,4.90414E+11,1.06546
18-4-14,134074.8281,138480.6875,133585.5313,135220.4531,135220.4531,2.77098E+11,0.66887
18-4-15,135621.9688,141376.625,135621.9688,141376.625,141376.625,2.93821E+11,0.51497
18-4-16,141294.1875,142082.2344,134237.6094,137245.3125,137245.3125,3.11049E+11,0.74188
