Open,High,Low,Close,Adj Close,Volume,Search Vol
66463.05469,71348.71094,66343.5625,69771.59375,69771.59375,3.05E+11,1.58636
69778.20313,69778.20313,64295.54297,65990.46094,65990.46094,3.61E+11,3.44501
66181.03125,70174.99219,65934.08594,68730.92188,68730.92188,2.66E+11,22.98054
69006.75781,71138.0625,68036.125,69938.52344,69938.52344,1.94E+11,2.11514
70045.19531,72293.39844,69951.66406,70590.17969,70590.17969,2.15E+11,2.02636
70574.14063,79479.85938,68998.89844,77923.90625,77923.90625,4.59E+11,1.61398
77253.01563,77803.53125,72169.86719,73874.53906,73874.53906,3.83E+11,3.2398
73695.45313,76276.125,71846.54688,76142.85156,76142.85156,1.90E+11,1.40483
75998.75,79791.36719,75006.34375,78215.60938,78215.60938,2.66E+11,1.45811
78022.99219,79921.48438,77630.1875,79188.34375,79188.34375,2.07E+11,1.74223
79126.96875,79555.83594,74729.63281,76418.38281,76418.38281,2.53E+11,1.63174
76586.32031,78084.10156,76531.57813,78028.85156,78028.85156,1.71E+11,1.44232
78118.17188,82767.52344,76934.5,79267.98438,79267.98438,3.41E+11,1.82313
79179.76563,84565.19531,79063.23438,84565.19531,84565.19531,3.12E+11,1.8547
84500.55469,96928.5625,84081.46094,96331.70313,96331.70313,5.29E+11,2.2651
96464.45313,96464.45313,91126.00781,93228.00781,93228.00781,3.88E+11,5.94491
93187.75,101556.0234,93267.625,99847.85938,99847.85938,4.68E+11,6.15405
99980.07813,104039.1719,98447.79688,104039.1719,104039.1719,4.21E+11,4.18491
104016.1016,112467.2266,87914.60156,92474.86719,92474.86719,8.50E+11,8.01665
93205.07813,101668.5156,84832.82813,96040.21094,96040.21094,5.24E+11,4.52823
95684.44531,108692.9766,90644.19531,107168.5391,107168.5391,6.08E+11,2.68537
107101.2031,112354.9688,106424.0156,108554.4141,108554.4141,4.36E+11,4.04877
108458.0781,115165.0625,106195.9609,109618.2109,109618.2109,3.94E+11,2.74259
109762.1875,113518.2188,104652.8125,113115.8672,113115.8672,3.59E+11,2.58671
113160.3594,113203.1797,110591.1094,111127.375,111127.375,3.57E+11,3.18258
111215.2734,114704.4375,106478.8203,109648.6094,109648.6094,5.98E+11,5.2346
109246.625,110770.9453,100870.5,107381.4922,107381.4922,7.05E+11,6.01791
107420.5,145426.8906,104263.0625,136313.1094,136313.1094,1.65E+12,4.90706
139187.9375,187307.9531,138215.1094,169500.9844,169500.9844,2.66E+12,49.23444
169921.3438,169921.3438,142116.2813,162308.4844,162308.4844,1.19E+12,19.20011
161869.5625,245073.9531,160881.6406,233014.3125,233014.3125,3.17E+12,16.495
231122.5938,372427.9063,228123.5469,345008.5,345008.5,7.60E+12,100
344138.7813,372471.125,312508.4063,328068.9688,328068.9688,3.70E+12,55.90939
326546.8125,338216.9688,288729.3125,303850.2188,303850.2188,2.30E+12,26.64654
305634.1563,343765.625,273756.2813,326144.5625,326144.5625,2.83E+12,24.82735
325663.6875,337156.7813,315651.2813,325266.5625,325266.5625,1.40E+12,9.36624
328325.9063,361841.2813,328325.9063,347088.1563,347088.1563,1.86E+12,9.16104
347343,391785.5625,329374.625,388937.9063,388937.9063,2.13E+12,7.99889
389794.2813,407894.625,364096.5938,379747.7813,379747.7813,2.33E+12,12.05161
379044.1563,379460.1875,335030.0625,339787.5313,339787.5313,2.27E+12,22.02754
339829.6563,367329.2188,323206.75,342960.5625,342960.5625,1.68E+12,40.34568
344899.7188,345955,201730.875,285262.875,285262.875,3.16E+12,21.54216
289930.5625,336662.1563,281715.0313,310387.5313,310387.5313,1.46E+12,13.75044
313339.9375,313339.9375,270302.6563,297285.6563,297285.6563,1.21E+12,6.75585
298916.5313,309328.8438,290316.625,294268.8125,294268.8125,8.66E+11,7.18795
293965.25,310937.6875,293354.125,308003.25,308003.25,9.06E+11,6.70257
308094.625,312648.4375,283813.1563,292225.0625,292225.0625,8.34E+11,6.43226
292173.5313,292963.2188,247545.625,267312.625,267312.625,2.77E+12,6.74598
267764,275167.1563,254229.7969,261795.9688,261795.9688,1.48E+12,6.29217
261353.4375,261722.3906,222015.0469,233495.5781,233495.5781,1.01E+12,10.0213
231375.6406,253573.1875,228001.6406,247472.3594,247472.3594,8.22E+11,5.58975
247013.875,252169.0313,236835.0781,243977.4063,243977.4063,6.74E+11,4.10007
243931.6094,279845.8438,243968.2344,271661.6875,271661.6875,1.32E+12,5.82258
271673.375,277739.7813,258724.8125,261056.8281,261056.8281,3.42E+12,5.62132
